epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,6670.59,0.9189,0.54343,1.11215,0.95233,0.90457,0.94262,0.74751,0.86958,0.46836,0.99246,0.000268938,0.000268938,0.000268938
84,6760.25,0.9278,0.55748,1.1191,0.98354,0.90308,0.94354,0.71404,1.00268,0.49184,1.0254,0.000254791,0.000254791,0.000254791
85,6845.77,0.91564,0.56292,1.09653,0.98155,0.90897,0.94892,0.69763,1.07705,0.50514,1.06106,0.000240644,0.000240644,0.000240644
86,6930.02,0.9297,0.55656,1.09601,0.9859,0.90169,0.94008,0.70923,1.02589,0.48522,1.03367,0.000226497,0.000226497,0.000226497
87,7014.33,0.91345,0.55787,1.10525,0.97689,0.90434,0.94376,0.73955,0.92675,0.45825,0.99233,0.000212349,0.000212349,0.000212349
88,7095.82,0.92614,0.54749,1.10517,0.98593,0.89538,0.94456,0.74848,0.89808,0.44798,0.99352,0.000198202,0.000198202,0.000198202
89,7178.15,0.89841,0.53581,1.08113,0.98638,0.89879,0.94063,0.74979,0.86767,0.46804,0.97997,0.000184055,0.000184055,0.000184055
90,7258.35,0.90965,0.541,1.0931,0.98083,0.89191,0.94246,0.74591,0.859,0.46264,0.97805,0.000169908,0.000169908,0.000169908
91,7340.56,0.78034,0.41278,1.00802,0.96844,0.90253,0.94294,0.73332,0.91247,0.46341,0.99862,0.000155761,0.000155761,0.000155761
92,7408.38,0.78323,0.40899,1.00283,0.98276,0.8935,0.94644,0.73745,0.8988,0.46276,0.99061,0.000141614,0.000141614,0.000141614
93,7479.09,0.75821,0.3914,0.99156,0.98737,0.89116,0.94677,0.73881,0.90481,0.45644,0.98488,0.000127467,0.000127467,0.000127467
94,7556.04,0.80606,0.40565,1.01166,0.98777,0.90121,0.94914,0.74939,0.89931,0.46186,0.97569,0.00011332,0.00011332,0.00011332
95,7630.14,0.78677,0.39256,1.00032,0.99344,0.90591,0.94793,0.74486,0.91876,0.4584,0.98352,9.91726e-05,9.91726e-05,9.91726e-05
96,7703.39,0.77204,0.40588,0.99158,0.98992,0.89977,0.94545,0.74618,0.88897,0.44927,0.97827,8.50255e-05,8.50255e-05,8.50255e-05
97,7770.74,0.7777,0.39105,1.00249,0.98675,0.90095,0.94643,0.76066,0.83608,0.44246,0.96347,7.08784e-05,7.08784e-05,7.08784e-05
98,7839.35,0.76645,0.38705,0.98895,0.97665,0.90918,0.94633,0.75993,0.86065,0.44719,0.97412,5.67313e-05,5.67313e-05,5.67313e-05
99,7912.78,0.74469,0.38519,0.98323,0.97812,0.90514,0.94461,0.76072,0.85466,0.44902,0.9703,4.25842e-05,4.25842e-05,4.25842e-05
100,7990.66,0.75321,0.37679,0.98702,0.97761,0.90035,0.94491,0.75845,0.86251,0.44864,0.97193,2.84371e-05,2.84371e-05,2.84371e-05
1,82.2917,1.46657,2.34302,1.42104,0.66972,0.6067,0.65558,0.36983,1.48028,1.6208,1.23951,0.000474107,0.000474107,0.000474107
2,161.243,1.54374,1.81999,1.51274,0.6592,0.53271,0.59474,0.32142,1.60043,1.79147,1.52915,0.000945736,0.000945736,0.000945736
3,236.216,1.58079,1.63927,1.54968,0.82621,0.63647,0.75013,0.42452,1.54648,1.27369,1.39227,0.00141265,0.00141265,0.00141265
4,312.229,1.53612,1.51631,1.47975,0.72484,0.58798,0.65167,0.36957,1.57854,1.50695,1.49592,0.00140778,0.00140778,0.00140778
5,386.878,1.55913,1.44849,1.50092,0.81506,0.58506,0.69475,0.42481,1.53724,2.05898,1.40116,0.00140071,0.00140071,0.00140071
6,462.854,1.50176,1.37871,1.45308,0.94283,0.72989,0.84243,0.49182,1.51729,1.04279,1.37789,0.00139363,0.00139363,0.00139363
7,538.25,1.4332,1.34331,1.42815,0.83211,0.73249,0.79884,0.49549,1.44569,1.12571,1.29958,0.00138656,0.00138656,0.00138656
8,613.073,1.42476,1.24413,1.43293,0.86435,0.70771,0.82862,0.51968,1.36806,1.09871,1.29437,0.00137949,0.00137949,0.00137949
9,685.234,1.40483,1.2472,1.40387,0.94721,0.7818,0.85933,0.51247,1.48273,0.97442,1.32131,0.00137241,0.00137241,0.00137241
10,758.603,1.38311,1.20033,1.38167,0.93803,0.77492,0.83983,0.49387,1.5828,0.9909,1.35321,0.00136534,0.00136534,0.00136534
11,834.625,1.38233,1.18604,1.37137,0.85802,0.72536,0.80606,0.47391,1.64341,1.20122,1.44077,0.00135826,0.00135826,0.00135826
12,917.803,1.37918,1.11822,1.38465,0.92991,0.76867,0.86126,0.55555,1.32884,0.90782,1.24771,0.00135119,0.00135119,0.00135119
13,990.614,1.33813,1.09404,1.36571,0.91649,0.75336,0.85399,0.53335,1.3963,0.93293,1.2893,0.00134412,0.00134412,0.00134412
14,1062.94,1.32673,1.08087,1.34778,0.93694,0.82106,0.88551,0.54895,1.36139,0.83173,1.27183,0.00133704,0.00133704,0.00133704
15,1136.97,1.34498,1.08984,1.36932,0.84299,0.79244,0.82978,0.5278,1.33454,0.94225,1.24752,0.00132997,0.00132997,0.00132997
16,1210.22,1.37117,1.12306,1.38821,0.93828,0.79706,0.87063,0.4679,1.64728,0.97363,1.4113,0.0013229,0.0013229,0.0013229
17,1283.21,1.33015,1.08377,1.38067,0.95409,0.74336,0.83706,0.51565,1.45302,0.99856,1.31535,0.00131582,0.00131582,0.00131582
18,1356.13,1.30928,1.02154,1.30992,0.93012,0.848,0.89553,0.56139,1.40797,0.80374,1.25051,0.00130875,0.00130875,0.00130875
19,1430.48,1.34866,1.04036,1.33478,0.93467,0.80814,0.88972,0.54929,1.39199,0.79885,1.24949,0.00130168,0.00130168,0.00130168
20,1503.08,1.30348,1.03419,1.32944,0.9716,0.81286,0.89016,0.56326,1.36199,0.75824,1.23286,0.0012946,0.0012946,0.0012946
21,1576.74,1.27364,1.00502,1.32165,0.92138,0.83091,0.89297,0.55289,1.37901,0.81199,1.23701,0.00128753,0.00128753,0.00128753
22,1649.13,1.23901,0.95651,1.29069,0.92523,0.81854,0.89193,0.54615,1.41627,0.88218,1.2393,0.00128046,0.00128046,0.00128046
23,1721.52,1.24548,0.95308,1.29342,0.96365,0.83367,0.89047,0.53426,1.54791,0.79828,1.28154,0.00127338,0.00127338,0.00127338
