epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,13127.8,0.92752,0.58169,1.23867,0.98013,0.91726,0.95823,0.667,1.19934,0.51743,1.26307,0.00030368,0.00030368,0.00030368
96,13264.3,0.94536,0.59584,1.26751,0.97029,0.90127,0.94998,0.68761,1.13304,0.52476,1.23618,0.0002984,0.0002984,0.0002984
97,13400.2,0.93679,0.60576,1.25978,0.96475,0.91435,0.94924,0.68979,1.10211,0.51552,1.20636,0.00029312,0.00029312,0.00029312
98,13542.4,0.9342,0.59997,1.24626,0.97881,0.87978,0.94526,0.73705,0.9111,0.4929,1.11987,0.00028784,0.00028784,0.00028784
99,13680,0.96421,0.60481,1.27244,0.96495,0.88711,0.94282,0.6954,1.08723,0.5365,1.22752,0.00028256,0.00028256,0.00028256
100,13816,0.91874,0.58295,1.21959,0.97999,0.88355,0.95052,0.71205,1.03275,0.51574,1.16716,0.00027728,0.00027728,0.00027728
101,13952.1,0.92747,0.58634,1.24694,0.98498,0.88072,0.94326,0.68138,1.1104,0.54471,1.21736,0.000272,0.000272,0.000272
102,14089.3,0.92802,0.58113,1.23242,0.99164,0.89363,0.94811,0.62397,1.33241,0.5618,1.35285,0.00026672,0.00026672,0.00026672
103,14226.5,0.91662,0.58635,1.2406,0.96909,0.90035,0.9511,0.65857,1.20759,0.53816,1.27743,0.00026144,0.00026144,0.00026144
104,14362.3,0.90232,0.59528,1.22111,0.96998,0.9151,0.95971,0.68614,1.12078,0.48919,1.23349,0.00025616,0.00025616,0.00025616
105,14497.5,0.89903,0.57451,1.22185,0.96871,0.92579,0.96096,0.68769,1.15561,0.49508,1.2444,0.00025088,0.00025088,0.00025088
106,14633.6,0.88997,0.55727,1.22204,0.99188,0.89491,0.94839,0.65678,1.2272,0.50568,1.29678,0.0002456,0.0002456,0.0002456
107,14769.2,0.88801,0.55051,1.19879,0.9662,0.92055,0.95824,0.67707,1.18258,0.49321,1.26164,0.00024032,0.00024032,0.00024032
108,14905.2,0.89536,0.55339,1.21561,0.95949,0.92075,0.95635,0.67318,1.19415,0.50394,1.27638,0.00023504,0.00023504,0.00023504
109,15042.5,0.88146,0.55059,1.20292,0.95892,0.92311,0.95621,0.70398,1.05947,0.47885,1.19467,0.00022976,0.00022976,0.00022976
110,15178.8,0.89764,0.57605,1.22313,0.97732,0.89264,0.95101,0.70985,1.04271,0.48891,1.19509,0.00022448,0.00022448,0.00022448
111,15315,0.88814,0.55701,1.20991,0.96428,0.91774,0.95303,0.6905,1.15277,0.4827,1.2411,0.0002192,0.0002192,0.0002192
112,15452,0.87819,0.54777,1.19239,0.978,0.92045,0.95685,0.68584,1.14839,0.49631,1.24117,0.00021392,0.00021392,0.00021392
113,15588.8,0.90563,0.56339,1.21268,0.94637,0.93844,0.95881,0.67971,1.20103,0.50728,1.28097,0.00020864,0.00020864,0.00020864
114,15724.7,0.86956,0.55745,1.20389,0.96027,0.93231,0.9559,0.65974,1.26157,0.52649,1.3279,0.00020336,0.00020336,0.00020336
